Cast % (All)
 on 24886 == -(.@r/2)
 on 470338 == -(.@r/2)
 on 470336 == -(.@r/2)
 on 400070 == -((.@r>=9)?20:(.@r>=7?15:10))
 on 29277 == -((.@r>=9)?15:((.@r>=7)?10:5))
 on 550052 ==    -getskilllv("tk_sptime")
 on 550053 ==    -getskilllv("tk_sptime")
 on 550002 ==    getskilllv("su_nyanggrass")*-2
 on 650017 ==    -getskilllv("nj_ninpou")
 on 550079 ==    -getskilllv("mg_srecovery")
 on 580000 ==    getskilllv("dc_dancinglesson")*-1
 on 570000 ==    getskilllv("ba_musicallesson")*-1
 combo 4145+470113 ==    -7*.@eq
 combo 4145+311071+470113 ==    7*.@eq
 on 400084 ==    -5*(.@r/3)
 on 26112 ==    -2*getskilllv("su_sv_stemspear")
 combo 4145+470113 ==    -2*.@eq
 combo 4145+311071+22212 ==    2*.@eq
 combo 4145+311071+470113 ==    2*.@eq
 on 480011 ==    -2*.@a
 on 510002 ==    -1*getskilllv("nj_ninpou")
 on 500001 ==    -1*getskilllv("am_learningpotion")
 combo 4965+19050 ==    -1 - ( .@r >= 9 ) ? 1 : 0
 on 18898 ==    -.@rate
 on 450002 ==    .@r/3*-1
 on 450003 ==    .@r/3*-1
 on 16051 ==    -.@r/2
 on 16051 ==    -.@r/2
 combo 24473+24303 ==    -.@r/2
 combo 311071+22212 ==    -.@eq
 combo 4145+311071+22212 ==    .@eq
 on 480120 ==    -.@c
 combo 311071+470113 ==    -(7*.@eq)
 combo 311071+470113 ==    -(2*.@eq)
 combo 311071+22212 ==    -(2*.@eq)
 on 5468 ==    -(.@r-5)

V. Cast % | Abyss Square
 on 510118 == -100

V. Cast % | Acid Demonstration
 on 19453 == -50
 on 28410 == -(baselevel/4)

V. Cast % | Adoramus
 combo 2472+2570+15030+16018 == -50
 on 19469 == -5*getskilllv("ab_oratio")
 combo 22225+26103 == -5*getskilllv("ab_oratio")
 combo 22182+1631 == .@cast
 combo 22225+1631 == .@cast

V. Cast % | Aimed Bolt
 combo 29600+470264 == -35*(.@r/4)
 on 470329 == -100
 combo 19484+490587 == -100

V. Cast % | Arclouse Dash
 combo 29725+28591 == -50
 on 470026 == -10*.@a
 on 470025 == -10*.@a

V. Cast % | Arm Cannon
 on 28598 == -50
 combo 29595+400098+470268 == -50
 combo 490412+490240 == -50
 combo 18974+490240 == -50
 on 470289 == -100
 on 470283 == -100
 on 410089 == -100
 on 410088 == -100
 combo 18974+490607 == -100

V. Cast % | Arrow Storm
 combo 29600+470264 == -35*(.@r/4)
 on 5898 == -100
 combo 19484+490587 == -100

V. Cast % | Asura Strike
 on 1824 == -25
 on 1832 == -100
 on 1827 == -100
 on 1824 == -100

V. Cast % | Boost Knuckle
 on 27092 == -100
 combo 15149+20777+22074+28369 == -100

V. Cast % | Bunch of Shrimp
 combo 29725+28590 == -50
 on 450210 == -10*getskilllv("su_shrimparty")
 on 22210 == .@val

V. Cast % | Cart Boost
 combo 24291+24304 == -100

V. Cast % | Cart Cannon
 on 470061 == -50
 on 470061 == -50
 on 470060 == -50
 on 470060 == -50
 on 19125 == -100
 combo 29602+400099+470268 == -100
 combo 29725+32264 == -100

V. Cast % | Catnip Meteor
 combo 29725+28589 == -50
 on 28585 == -3*(baselevel/10)
 on 28584 == -20
 on 28382 == -1000
 on 28583 == -10
 on 400060 == .@val

V. Cast % | Catnip Powdering
 combo 29725+28589 == -50

V. Cast % | Chattering
 combo 29725+28589 == -50

V. Cast % | Cold Bolt
 on 490034 == -50
 on 4416 == -25
 on 24249 == -20-(5*.@r)

V. Cast % | Cold Slower
 on 28598 == -50

V. Cast % | Coluceo Heal
 on 410337 == -100
 on 410336 == -100
 combo 4804+490650 == -100
 combo 19138+19327 == -100

V. Cast % | Crazy Weed
 on 19453 == -50
 combo 16094+470294 == -100

V. Cast % | Crimson Fire Formation
 on 15831 == -20
 on 18947 == -10

V. Cast % | Deep Sleep Lullaby
 on 580070 == -100

V. Cast % | Dragon Tail
 on 28239 == -10*getrefine()

V. Cast % | Duple Light
 on 19319 == -100

V. Cast % | Earth Charm
 on 510142 == -100

V. Cast % | Earth Drive
 combo 32024+470294 == -100

V. Cast % | Earth Grave
 combo 26160+470298 == -100

V. Cast % | Earth Spike
 on 5547 == -25

V. Cast % | Earth Strain
 on 15426 == -100

V. Cast % | Esma
 on 26176 == -20
 combo 15855+26176 == -10

V. Cast % | Estin
 on 15855 == -50

V. Cast % | Estun
 on 15855 == -50

V. Cast % | Fire Ball
 on 27026 == -50
 on 490387 == -50
 on 490233 == -50
 on 5776 == -5

V. Cast % | Fire Bolt
 on 490034 == -50
 on 5776 == -5
 on 4433 == -25
 on 24249 == -20-(5*.@r)

V. Cast % | Fire Charm
 on 510142 == -100

V. Cast % | Flame Launcher
 on 28598 == -50

V. Cast % | Focused Arrow Strike
 combo 18541+1745 == -50
 on 400473 == -20
 on 400472 == -20
 on 15828 == 20
 on 490609 == -100
 combo 19484+490587 == -100
 on 15879 == -10

V. Cast % | Fresh Shrimp
 combo 29725+28590 == -50
 on 450210 == -10*getskilllv("su_shrimparty")
 on 22210 == .@val

V. Cast % | Frosty Misty
 combo 1646+2161 == -.@r

V. Cast % | Full Protection
 on 19453 == -50

V. Cast % | Gate of Hell
 on 28503 == -3*(baselevel/20)

V. Cast % | Grand Cross
 combo 28515+18823 == -100

V. Cast % | Greed
 on 19407 == -100
 on 19402 == -100
 combo 29725+32253 == -100

V. Cast % | Grooming
 combo 29725+28590 == -50

V. Cast % | Heaven's Drive
 combo 24265+24278 == -40
 on 15827 == 30
 on 5547 == -25

V. Cast % | Hell Inferno
 on 32266 == -50
 on 1682 == -30

V. Cast % | Hidden Water
 on 18948 == -10

V. Cast % | Highness Heal
 combo 4805+490650 == -100

V. Cast % | Hiss
 combo 29725+28591 == -50
 on 470026 == -10*.@a
 on 470025 == -10*.@a

V. Cast % | Holy Light
 combo 2472+2570+15030+16018 == -50
 combo 2380+2436+2539 == -50
 on 26103 == -25
 on 1631 == -25

V. Cast % | Howling of Lion
 on 19329 == -50

V. Cast % | Howling of Mandragora
 combo 32242+18977 == -100

V. Cast % | Ice Charm
 on 510142 == -100

V. Cast % | Ignition Break
 on 490605 == -100
 combo 21051+470294 == -100

V. Cast % | Jack Frost
 combo 1646+2161 == -.@r

V. Cast % | Judex
 on 490010 == -50
 combo 2472+2570+15030+16018 == -50
 on 19469 == -5*getskilllv("ab_oratio")
 combo 22225+26103 == -5*getskilllv("ab_oratio")
 on 490610 == -100
 combo 490335+490437 == -100
 combo 22182+1631 == .@cast
 combo 22225+1631 == .@cast

V. Cast % | Jupitel Thunder
 combo 24264+24277 == -40
 on 26175 == -20
 on 15827 == 20
 on 26175 == -10
 on 15856 == -10

V. Cast % | Kaizel
 on 400680 == -50
 on 400680 == -50
 on 400679 == -50
 on 400679 == -50
 combo 300021+311439 == -50

V. Cast % | Kaupe
 on 400680 == -50
 on 400680 == -50
 on 400679 == -50
 on 400679 == -50

V. Cast % | Lightning Bolt
 on 490034 == -50
 on 31002 == -25
 on 24249 == -20-(5*.@r)

V. Cast % | Lightning Strike of Destruction
 on 15831 == -20
 on 18949 == -10

V. Cast % | Lightning Walk
 on 490110 == -50

V. Cast % | Lope
 on 400077 == -50
 on 400077 == -50
 on 400060 == -50
 on 400060 == -50
 on 22187 == -50
 on 22187 == -50
 on 410110 == -100
 on 410109 == -100

V. Cast % | Lord of Vermilion
 on 15832 == -10
 on 24264 == -1*(20+(3*.@r))

V. Cast % | Lunatic Carrot Beat
 combo 29725+28591 == -50
 on 28588 == -3*(baselevel/10)
 on 480075 == -20
 on 480075 == -20
 on 28587 == -20
 on 470026 == -10*.@a
 on 470025 == -10*.@a
 on 480075 == -10
 on 28586 == -10

V. Cast % | Magnetic Earth
 on 550005 == -30
 on 26147 == -30

V. Cast % | Magnus Exorcismus
 combo 2472+2570+15030+16018 == -50
 combo 24260+24273 == -40
 on 26103 == -25
 on 1631 == -25
 combo 2677+28602 == -25
 combo 2677+28646 == -25
 on 18791 == -100
 on 15978 == -100
 on 15977 == -100

V. Cast % | Man Hole
 on 28595 == -100

V. Cast % | Mental Strength
 on 19329 == -50
 on 22145 == -.@c*10

V. Cast % | Meow Meow
 combo 29725+28589 == -50

V. Cast % | Metallic Sound
 on 22198 == -10*getskilllv("wm_gloomyday")
 on 28536 == .@n/2
 on 28411 == .@n/2

V. Cast % | Meteor Assault
 on 22134 == -7*(.@a+.@b+.@c)
 on 470281 == -5*getskilllv("as_cloaking")
 on 470280 == -5*getskilllv("as_cloaking")
 on 470279 == -5*getskilllv("as_cloaking")
 on 470083 == -100
 on 470082 == -100
 combo 490231+490395 == -100

V. Cast % | Meteor Storm
 on 24264 == -1*(20+(3*.@r))

V. Cast % | Mystical Amplification
 on 19193 == -50
 on 2003 == -50
 on 2000 == -50
 combo 22257+19193 == -50
 combo 2003+19193 == 50
 combo 27087+311075 == -100

V. Cast % | New Moon Kick
 on 29717 == -50

V. Cast % | Nyang Grass
 combo 29725+28589 == -50

V. Cast % | Omega Abyss Strike
 on 510118 == -100

V. Cast % | Oratio
 on 28564 == -50

V. Cast % | Picky Peck
 on 490393 == -50
 on 490392 == -50
 on 28591 == -50
 on 28424 == -50
 combo 28424+490582 == -50
 combo 490539+550014 == -50
 combo 490190+550014 == -50
 combo 15430+490084 == -50
 combo 29725+28591 == -50
 on 480075 == -20
 on 480075 == -20
 on 470026 == -10*.@a
 on 470025 == -10*.@a
 on 480075 == -10

V. Cast % | Power of Flock
 combo 29725+28591 == -50
 on 470026 == -10*.@a
 on 470025 == -10*.@a

V. Cast % | Prominence Kick
 on 29716 == -50

V. Cast % | Psychic Wave
 combo 15387+4561 == -100

V. Cast % | Purring
 combo 29725+28590 == -50

V. Cast % | Ray of Genesis
 on 490083 == -50

V. Cast % | Reverberation
 on 470032 == -100
 on 1940 == -.@per

V. Cast % | Ride In Lightening
 on 28503 == -5*(baselevel/15)
 on 410314 == -100
 on 410313 == -100

V. Cast % | Scar of Tarou
 combo 29725+28591 == -50
 on 480075 == -20
 on 480075 == -20
 on 470026 == -10*.@a
 on 470025 == -10*.@a
 on 480075 == -10

V. Cast % | Shield Chain
 on 490028 == -50
 on 15826 == 20

V. Cast % | Silvervine Root Twist
 combo 29725+28589 == -50

V. Cast % | Silvervine Stem Spear
 on 28589 == -50
 on 28422 == -50
 combo 28422+490582 == -50
 combo 15430+490084 == -50
 combo 29725+28589 == -50
 on 400060 == .@val

V. Cast % | Spiral Pierce
 on 32261 == -50
 on 15826 == 20

V. Cast % | Spirit of Savage
 combo 29725+28591 == -50
 on 480075 == -20
 on 480075 == -20
 on 470026 == -10*.@a
 on 470025 == -10*.@a
 on 480075 == -10

V. Cast % | Spore Explosion
 on 20986 == -100
 combo 490412+490240 == -100

V. Cast % | Stoop
 on 400077 == -50
 on 400077 == -50
 on 400060 == -50
 on 400060 == -50
 on 15277 == -50
 on 15277 == -50
 on 410110 == -100
 on 410109 == -100

V. Cast % | Storm Gust
 on 1646 == -8
 on 15832 == -10
 on 24264 == -1*(20+(3*.@r))
 combo 1646+2161 == -.@r

V. Cast % | Summon Spirit Sphere
 on 19329 == -50
 on 22145 == -.@c*10

V. Cast % | Swing Dance
 on 580070 == -100

V. Cast % | Swirling Petal
 on 490654 == -50
 on 32262 == -50

V. Cast % | Tasty Shrimp Party
 combo 29725+28590 == -50
 on 22210 == .@val

V. Cast % | Tetra Vortex
 on 313332 == -10*getskilllv("wl_comet")

V. Cast % | Throw Huuma Shuriken
 on 32281 == -25
 on 15831 == -20
 on 1339 == -20
 on 1339 == -10

V. Cast % | Throw Spirit Sphere
 on 15822 == -30
 on 15849 == -15

V. Cast % | Thunderstorm
 on 15832 == -30

V. Cast % | Tracking
 on 15831 == -30
 on 13176 == -25
 on 13171 == -25
 on 28203 == -20

V. Cast % | Triangle Shot
 combo 490231+490395 == -100

V. Cast % | Tuna Belly
 combo 29725+28590 == -50
 on 450210 == -10*getskilllv("su_shrimparty")
 on 22210 == .@val

V. Cast % | Tuna Party
 combo 29725+28590 == -50
 on 450210 == -10*getskilllv("su_shrimparty")
 on 22210 == .@val

V. Cast % | Turn Undead
 combo 2472+2570+15030+16018 == -50
 on 26103 == -25
 on 1631 == -25

V. Cast % | Vulcan Arm
 on 27092 == -100
 combo 15149+20777+22074+28369 == -100

V. Cast % | Vulcan Arrow
 on 490032 == -50
 on 15828 == 30
 on 400473 == -20
 on 400472 == -20

V. Cast % | Warmer
 on 28567 == -50
 on 28394 == -50

V. Cast % | Wind Charm
 on 510142 == -100

V. Cast % | Wind Cutter
 combo 28506+1449 == -50

V. Cast % | Windmill Rush Attack
 on 570070 == -100

V. Cast % | Zen
 on 490110 == -50
 on 22213 == -50
 on 19447 == -50

V. Cast (All)
 on 20011426 == -1s
 on 20003425 == -1s
 on 20000925 == -1s
 on 20007984 == -1.0s
 on 20004926 == -1.0s
 on 20004490 == -1.0s
 on 20003427 == -1.0s
 on 20013989 == -1.0s
 on 20003407 == -1.0s
 on 20000932 == -1.0s
 on 20004929 == -1.0s
 on 20010996 == -1.0s
 on 20004942 == -1.0s
 on 20004952 == -1.0s
 on 20004961 == -1.0s
 on 20004972 == -1.0s
 on 20007979 == -1.0s
 on 20004489 == -1.0s
 on 20013965 == -1.0s
 on 20011947 == -1.0s
 on 20018131 == -1.0s
 on 20018189 == -1.0s
 on 20004404 == -1.0s
 on 20012429 == -1.0s
 on 20012417 == -1.0s
 on 20012413 == -1.0s
 on 20004414 == -1.0s
 on 20001417 == -1.0s
 on 20013964 == -1.0s
 on 20018039 == -1.0s
 on 20018035 == -1.0s
 on 20018020 == -1.0s
 on 20018011 == -1.0s
 on 20018010 == -1.0s
 on 20004472 == -1.0s
 on 20011418 == -1.0s
 on 20005959 == -1.0s
 on 20000961 == -1.0s
 on 20005989 == -1.0s
 on 20007920 == -1.0s
 on 20008953 == -1.0s
 on 20015436 == -1.0s
 on 20008928 == -1.0s
 on 20008919 == -1.0s
 on 20008468 == -1.0s
 on 20008464 == -1.0s
 on 20000473 == -1.0s
 on 20015988 == -1.0s
 on 20007949 == -1.0s
 on 20008436 == -1.0s
 on 20008427 == -1.0s
 on 20015952 == -1.0s
 on 20015925 == -1.0s
 on 20015909 == -1.0s
 on 20007431 == -1.0s
 on 20007428 == -1.0s
 on 20007411 == -1.0s
 on 20014923 == -1.0s
 on 20010490 == -1.0s
 on 20010429 == -1.0s
 on 20010421 == -1.0s
 on 20014904 == -1.0s
 on 20014911 == -1.0s
 on 20014917 == -1.0s
 on 20006482 == -1.0s
 on 20001974 == -1.0s
 on 20006490 == -1.0s
 on 20006499 == -1.0s
 on 20014986 == -1.0s
 on 20009983 == -1.0s
 on 20009980 == -1.0s
 on 20009958 == -1.0s
 on 20012431 == -1.0s
 on 20005412 == -1.0s
 on 20003488 == -1.0s
 on 20000983 == -1.0s
 on 20012914 == -1.0s
 on 20013417 == -1.0s
 on 20018286 == -1.0s
 on 20012445 == -1.0s
 on 20018261 == -1.0s
 on 20018365 == -1.0s
 on 20012499 == -1.0s
 on 20018472 == -1.0s
 on 20012973 == -1.0s
 on 20018266 == -1.0s
 on 20018400 == -1.0s
 on 20018330 == -1.0s
 on 20012495 == -1.0s
 on 20014927 == -0.9s
 on 20006434 == -0.9s
 on 20002911 == -0.9s
 on 20018361 == -0.9s
 on 20014923 == -0.9s
 on 20001907 == -0.9s
 on 20006452 == -0.9s
 on 20002912 == -0.9s
 on 20006454 == -0.9s
 on 20014931 == -0.9s
 on 20001913 == -0.9s
 on 20014952 == -0.9s
 on 20014935 == -0.9s
 on 20014945 == -0.9s
 on 20002916 == -0.9s
 on 20014963 == -0.9s
 on 20018384 == -0.9s
 on 20010403 == -0.9s
 on 20006496 == -0.9s
 on 20000963 == -0.9s
 on 20013412 == -0.9s
 on 20006421 == -0.9s
 on 20013432 == -0.9s
 on 20000905 == -0.9s
 on 20001491 == -0.9s
 on 20010998 == -0.9s
 on 20005497 == -0.9s
 on 20010985 == -0.9s
 on 20005924 == -0.9s
 on 20005955 == -0.9s
 on 20010958 == -0.9s
 on 20010925 == -0.9s
 on 20010908 == -0.9s
 on 20010901 == -0.9s
 on 20000965 == -0.9s
 on 20014905 == -0.9s
 on 20002998 == -0.9s
 on 20010451 == -0.9s
 on 20010442 == -0.9s
 on 20010438 == -0.9s
 on 20013429 == -0.9s
 on 20010425 == -0.9s
 on 20002971 == -0.9s
 on 20014901 == -0.9s
 on 20006410 == -0.9s
 on 20010407 == -0.9s
 on 20009990 == -0.9s
 on 20009995 == -0.9s
 on 20014998 == -0.9s
 on 20014970 == -0.9s
 on 20006923 == -0.9s
 on 20015470 == -0.9s
 on 20015471 == -0.9s
 on 20000430 == -0.9s
 on 20012936 == -0.9s
 on 20012949 == -0.9s
 on 20012950 == -0.9s
 on 20000459 == -0.9s
 on 20018447 == -0.9s
 on 20018448 == -0.9s
 on 20015968 == -0.9s
 on 20000479 == -0.9s
 on 20018460 == -0.9s
 on 20008436 == -0.9s
 on 20007953 == -0.9s
 on 20015943 == -0.9s
 on 20002435 == -0.9s
 on 20002435 == -0.9s
 on 20012981 == -0.9s
 on 20012999 == -0.9s
 on 20015915 == -0.9s
 on 20002470 == -0.9s
 on 20015912 == -0.9s
 on 20012985 == -0.9s
 on 20015469 == -0.9s
 on 20007942 == -0.9s
 on 20015436 == -0.9s
 on 20009414 == -0.9s
 on 20014984 == -0.9s
 on 20012481 == -0.9s
 on 20014993 == -0.9s
 on 20005477 == -0.9s
 on 20018395 == -0.9s
 on 20006977 == -0.9s
 on 20009954 == -0.9s
 on 20018420 == -0.9s
 on 20009436 == -0.9s
 on 20007449 == -0.9s
 on 20007469 == -0.9s
 on 20007909 == -0.9s
 on 20008995 == -0.9s
 on 20007482 == -0.9s
 on 20008973 == -0.9s
 on 20008971 == -0.9s
 on 20002494 == -0.9s
 on 20015404 == -0.9s
 on 20015417 == -0.9s
 on 20008963 == -0.9s
 on 20015419 == -0.9s
 on 20008953 == -0.9s
 on 20000911 == -0.9s
 on 20003985 == -0.9s
 on 20001481 == -0.9s
 on 20018270 == -0.9s
 on 20018252 == -0.9s
 on 20018006 == -0.9s
 on 20011966 == -0.9s
 on 20011965 == -0.9s
 on 20004476 == -0.9s
 on 20013920 == -0.9s
 on 20004486 == -0.9s
 on 20018268 == -0.9s
 on 20013485 == -0.9s
 on 20001479 == -0.9s
 on 20004495 == -0.9s
 on 20018031 == -0.9s
 on 20004496 == -0.9s
 on 20003457 == -0.9s
 on 20013977 == -0.9s
 on 20013977 == -0.9s
 on 20018271 == -0.9s
 on 20013472 == -0.9s
 on 20003419 == -0.9s
 on 20012463 == -0.9s
 on 20013460 == -0.9s
 on 20018283 == -0.9s
 on 20004463 == -0.9s
 on 20012461 == -0.9s
 on 20018286 == -0.9s
 on 20012442 == -0.9s
 on 20003459 == -0.9s
 on 20018203 == -0.9s
 on 20018192 == -0.9s
 on 20003481 == -0.9s
 on 20000966 == -0.9s
 on 20018223 == -0.9s
 on 20004405 == -0.9s
 on 20000986 == -0.9s
 on 20012406 == -0.9s
 on 20001406 == -0.9s
 on 20001415 == -0.9s
 on 20018239 == -0.9s
 on 20012453 == -0.9s
 on 20004426 == -0.9s
 on 20001423 == -0.9s
 on 20018079 == -0.9s
 on 20018075 == -0.9s
 on 20004438 == -0.9s
 on 20018069 == -0.9s
 on 20004444 == -0.9s
 on 20011991 == -0.9s
 on 20011988 == -0.9s
 on 20004923 == -0.9s
 on 20002470 == -0.9s
 on 20018287 == -0.9s
 on 20011486 == -0.9s
 on 20001455 == -0.9s
 on 20004973 == -0.9s
 on 20001457 == -0.9s
 on 20011493 == -0.9s
 on 20004982 == -0.9s
 on 20004986 == -0.9s
 on 20004987 == -0.9s
 on 20011487 == -0.9s
 on 20005405 == -0.9s
 on 20001455 == -0.9s
 on 20011460 == -0.9s
 on 20013445 == -0.9s
 on 20011446 == -0.9s
 on 20018321 == -0.9s
 on 20012472 == -0.9s
 on 20001470 == -0.9s
 on 20014459 == -0.9s
 on 20005453 == -0.9s
 on 20018316 == -0.9s
 on 20005400 == -0.9s
 on 20018309 == -0.9s
 on 20011907 == -0.9s
 on 20001441 == -0.9s
 on 20013447 == -0.9s
 on 20009968 == -0.8s
 on 20011925 == -0.8s
 on 20000480 == -0.8s
 on 20011424 == -0.8s
 on 20000481 == -0.8s
 on 20012954 == -0.8s
 on 20010911 == -0.8s
 on 20001427 == -0.8s
 on 20008476 == -0.8s
 on 20001438 == -0.8s
 on 20014961 == -0.8s
 on 20014401 == -0.8s
 on 20008938 == -0.8s
 on 20011450 == -0.8s
 on 20010490 == -0.8s
 on 20000920 == -0.8s
 on 20011451 == -0.8s
 on 20010488 == -0.8s
 on 20012966 == -0.8s
 on 20010972 == -0.8s
 on 20014422 == -0.8s
 on 20008946 == -0.8s
 on 20007986 == -0.8s
 on 20014481 == -0.8s
 on 20012437 == -0.8s
 on 20012476 == -0.8s
 on 20012474 == -0.8s
 on 20002460 == -0.8s
 on 20014445 == -0.8s
 on 20000973 == -0.8s
 on 20008409 == -0.8s
 on 20012425 == -0.8s
 on 20010984 == -0.8s
 on 20008409 == -0.8s
 on 20010978 == -0.8s
 on 20010974 == -0.8s
 on 20008433 == -0.8s
 on 20008433 == -0.8s
 on 20001400 == -0.8s
 on 20015467 == -0.8s
 on 20015458 == -0.8s
 on 20012486 == -0.8s
 on 20013915 == -0.8s
 on 20009433 == -0.8s
 on 20001440 == -0.8s
 on 20013945 == -0.8s
 on 20009471 == -0.8s
 on 20009482 == -0.8s
 on 20012476 == -0.8s
 on 20013968 == -0.8s
 on 20001997 == -0.8s
 on 20001993 == -0.8s
 on 20012499 == -0.8s
 on 20014910 == -0.8s
 on 20001968 == -0.8s
 on 20001950 == -0.8s
 on 20009921 == -0.8s
 on 20013404 == -0.8s
 on 20009955 == -0.8s
 on 20009956 == -0.8s
 on 20011938 == -0.8s
 on 20011948 == -0.8s
 on 20015457 == -0.8s
 on 20008981 == -0.8s
 on 20013986 == -0.8s
 on 20012934 == -0.8s
 on 20012916 == -0.8s
 on 20012469 == -0.8s
 on 20011978 == -0.8s
 on 20014926 == -0.8s
 on 20008954 == -0.8s
 on 20013499 == -0.8s
 on 20000931 == -0.8s
 on 20015408 == -0.8s
 on 20011491 == -0.8s
 on 20013494 == -0.8s
 on 20008965 == -0.8s
 on 20011974 == -0.8s
 on 20013986 == -0.8s
 on 20008979 == -0.8s
 on 20013984 == -0.8s
 on 20001935 == -0.8s
 on 20012992 == -0.8s
 on 20005936 == -0.8s
 on 20018003 == -0.8s
 on 20002482 == -0.8s
 on 20002482 == -0.8s
 on 20006996 == -0.8s
 on 20018223 == -0.8s
 on 20002978 == -0.8s
 on 20007908 == -0.8s
 on 20007922 == -0.8s
 on 20003438 == -0.8s
 on 20004472 == -0.8s
 on 20005456 == -0.8s
 on 20007936 == -0.8s
 on 20018230 == -0.8s
 on 20006991 == -0.8s
 on 20018236 == -0.8s
 on 20000421 == -0.8s
 on 20018238 == -0.8s
 on 20004945 == -0.8s
 on 20000435 == -0.8s
 on 20002940 == -0.8s
 on 20002488 == -0.8s
 on 20007498 == -0.8s
 on 20005431 == -0.8s
 on 20006474 == -0.8s
 on 20004437 == -0.8s
 on 20018117 == -0.8s
 on 20004970 == -0.8s
 on 20004963 == -0.8s
 on 20006445 == -0.8s
 on 20004406 == -0.8s
 on 20018042 == -0.8s
 on 20004993 == -0.8s
 on 20005401 == -0.8s
 on 20018164 == -0.8s
 on 20018032 == -0.8s
 on 20007400 == -0.8s
 on 20004952 == -0.8s
 on 20005413 == -0.8s
 on 20004951 == -0.8s
 on 20006411 == -0.8s
 on 20006475 == -0.8s
 on 20018254 == -0.8s
 on 20007433 == -0.8s
 on 20005970 == -0.8s
 on 20006981 == -0.8s
 on 20005926 == -0.8s
 on 20005988 == -0.8s
 on 20005980 == -0.8s
 on 20005977 == -0.8s
 on 20003913 == -0.8s
 on 20003408 == -0.8s
 on 20003452 == -0.8s
 on 20018441 == -0.8s
 on 20018276 == -0.8s
 on 20015933 == -0.8s
 on 20007968 == -0.8s
 on 20018447 == -0.8s
 on 20018460 == -0.8s
 on 20018483 == -0.8s
 on 20015913 == -0.8s
 on 20003910 == -0.8s
 on 20007972 == -0.8s
 on 20018384 == -0.8s
 on 20005999 == -0.8s
 on 20002997 == -0.8s
 on 20018328 == -0.8s
 on 20004474 == -0.8s
 on 20005461 == -0.8s
 on 20018282 == -0.8s
 on 20018289 == -0.8s
 on 20018295 == -0.8s
 on 20003994 == -0.8s
 on 20004483 == -0.8s
 on 20000465 == -0.8s
 on 20006986 == -0.8s
 on 20006985 == -0.8s
 on 20007948 == -0.8s
 on 20015994 == -0.8s
 on 20018346 == -0.8s
 on 20018355 == -0.8s
 on 20011928 == -0.7s
 on 20011932 == -0.7s
 on 20004920 == -0.7s
 on 20003411 == -0.7s
 on 20004964 == -0.7s
 on 20000939 == -0.7s
 on 20000955 == -0.7s
 on 20005431 == -0.7s
 on 20001447 == -0.7s
 on 20004980 == -0.7s
 on 20005938 == -0.7s
 on 20010977 == -0.7s
 on 20007976 == -0.7s
 on 20010995 == -0.7s
 on 20005498 == -0.7s
 on 20005480 == -0.7s
 on 20005478 == -0.7s
 on 20001482 == -0.7s
 on 20005468 == -0.7s
 on 20014485 == -0.7s
 on 20001478 == -0.7s
 on 20014467 == -0.7s
 on 20005450 == -0.7s
 on 20005446 == -0.7s
 on 20005443 == -0.7s
 on 20014444 == -0.7s
 on 20011412 == -0.7s
 on 20011418 == -0.7s
 on 20005419 == -0.7s
 on 20005410 == -0.7s
 on 20011452 == -0.7s
 on 20005408 == -0.7s
 on 20011499 == -0.7s
 on 20003435 == -0.7s
 on 20001429 == -0.7s
 on 20003439 == -0.7s
 on 20003452 == -0.7s
 on 20000971 == -0.7s
 on 20000973 == -0.7s
 on 20018228 == -0.7s
 on 20018233 == -0.7s
 on 20012454 == -0.7s
 on 20018243 == -0.7s
 on 20018251 == -0.7s
 on 20013492 == -0.7s
 on 20013486 == -0.7s
 on 20013466 == -0.7s
 on 20013464 == -0.7s
 on 20018334 == -0.7s
 on 20012475 == -0.7s
 on 20003968 == -0.7s
 on 20013416 == -0.7s
 on 20013400 == -0.7s
 on 20018364 == -0.7s
 on 20018367 == -0.7s
 on 20003943 == -0.7s
 on 20003936 == -0.7s
 on 20018416 == -0.7s
 on 20012904 == -0.7s
 on 20018425 == -0.7s
 on 20012918 == -0.7s
 on 20018431 == -0.7s
 on 20018439 == -0.7s
 on 20012986 == -0.7s
 on 20000968 == -0.7s
 on 20003472 == -0.7s
 on 20018208 == -0.7s
 on 20001428 == -0.7s
 on 20004489 == -0.7s
 on 20004479 == -0.7s
 on 20004478 == -0.7s
 on 20018000 == -0.7s
 on 20011955 == -0.7s
 on 20011961 == -0.7s
 on 20011961 == -0.7s
 on 20011967 == -0.7s
 on 20018004 == -0.7s
 on 20004449 == -0.7s
 on 20011998 == -0.7s
 on 20005946 == -0.7s
 on 20001427 == -0.7s
 on 20012442 == -0.7s
 on 20004418 == -0.7s
 on 20018132 == -0.7s
 on 20018144 == -0.7s
 on 20012407 == -0.7s
 on 20012408 == -0.7s
 on 20012413 == -0.7s
 on 20004406 == -0.7s
 on 20018178 == -0.7s
 on 20018180 == -0.7s
 on 20012430 == -0.7s
 on 20018190 == -0.7s
 on 20004403 == -0.7s
 on 20010974 == -0.7s
 on 20010924 == -0.7s
 on 20005964 == -0.7s
 on 20000428 == -0.7s
